,run_id,N,p,k,num_edges,edge_list,num_solutions_m,compiler_success,error_message,compilation_time,time_xag_optimize,time_xag_synthesis,time_parity_decomp,time_linear_resynth,oracle_num_qubits,oracle_depth,oracle_size,oracle_cx_count,oracle_1q_count
87,88,4,0.2,2,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]",1,True,None,1.5905001163482666,0.0008664131164550781,1.9073486328125e-05,5.0067901611328125e-06,3.337860107421875e-06,7,12,33,8,25
88,89,4,0.2,2,3,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0]",3,True,None,1.4884016513824463,0.0008788108825683594,2.002716064453125e-05,5.7220458984375e-06,9.775161743164062e-06,7,25,41,12,29
89,90,4,0.2,2,1,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1,True,None,1.3898499011993408,0.0011491775512695312,1.9311904907226562e-05,5.4836273193359375e-06,7.3909759521484375e-06,7,24,35,10,25
90,91,4,0.3,2,2,"[0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0]",2,True,None,1.3972902297973633,0.0013668537139892578,2.09808349609375e-05,5.4836273193359375e-06,1.0728836059570312e-05,6,23,29,14,15
91,92,4,0.3,2,3,"[0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0]",3,True,None,2.192819118499756,0.0009891986846923828,2.2172927856445312e-05,5.4836273193359375e-06,1.0967254638671875e-05,7,24,37,12,25
92,93,4,0.3,2,4,"[0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0]",5,True,None,1.6613619327545166,0.0009062290191650391,2.1696090698242188e-05,5.9604644775390625e-06,1.3828277587890625e-05,7,40,50,25,25
93,94,4,0.3,2,2,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0]",2,True,None,1.6362311840057373,0.0014927387237548828,2.1457672119140625e-05,6.4373016357421875e-06,7.62939453125e-06,6,12,21,6,15
94,95,4,0.3,2,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,True,None,1.6481897830963135,0.0011692047119140625,2.384185791015625e-05,5.9604644775390625e-06,1.0728836059570312e-05,9,34,60,22,38
95,96,4,0.3,2,4,"[0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0]",5,True,None,1.4274015426635742,0.0009152889251708984,2.9325485229492188e-05,6.4373016357421875e-06,1.4066696166992188e-05,7,40,50,25,25
96,97,4,0.3,2,1,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1,True,None,1.6102995872497559,0.001463174819946289,2.0742416381835938e-05,5.0067901611328125e-06,3.337860107421875e-06,7,13,33,8,25
97,98,4,0.3,2,2,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0]",2,True,None,1.6193387508392334,0.0009829998016357422,2.09808349609375e-05,5.9604644775390625e-06,8.821487426757812e-06,6,13,21,6,15
98,99,4,0.3,2,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,True,None,1.6150803565979004,0.0012362003326416016,2.3365020751953125e-05,6.198883056640625e-06,1.049041748046875e-05,9,34,60,22,38
99,100,4,0.3,2,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,True,None,1.6640753746032715,0.0012803077697753906,2.384185791015625e-05,6.198883056640625e-06,1.0728836059570312e-05,9,34,60,22,38
